#,Element Name,Element Type,Element Sub-type,Element IDs,Cell line,Cell type,Organism,Tissue type,Location,Location ID,Element NOTES,,Variable,,,Positive Regulators,Positive Connection Type,Negative Regulators,Negative Connection Type
116,LDH,Protein family,"A,B,C,6B","P00338,P07195,P07864,Q9BYZ2",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,LDHpf_cytoPCC,,,GLYCOLYSISbp_cytoPCC,D,TCAKREBSbp_mitoPCC,D
117,LACTATE,Chemical,,HMDB00190,,,,,,,,,LACTATEche_cytoPCC,,,LDHpf_cytoPCC,D,,
118,LACTATE,Chemical,,HMDB00190,,,Human,Pancreas,extracellular,GO:0005576,,,LACTATEche_ex,,,LACTATEche_cytoPCC,D,,
119,LKB1,Protein,,Q15831,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,LKB1pn_cytoPCC,,,ATMpn_cytoPCC,D,,
120,LTBP,Protein family,"1,3,4","Q14766,Q9NS15,Q8N2S1",,,Human,Pancreas,extracellular,GO:0005576,,,LTBPpf_ex,,,INTEGRINpf_memPCC,D,,
121,MDM2,Protein,,Q00987,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,MDM2pn_cytoPCC,,,{AKTpf_cytoPCC}[MDM2rna_nucPCC],"D,D",,
122,MDM2,Protein,,Q00987,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MDM2pn_nucPCC,,,MDM2pn_cytoPCC,D,ARFpn_nucPCC,D
123,MDM2,mRNA,,Q00987,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MDM2rna_nucPCC,,,MDM2gene_nucPCC,D,,
124,MDM2,gene,,Q00987,Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MDM2gene_nucPCC,,,P53pn_nucPCC,D,,
125,MEK1,Protein family,"1,2","Q02750,P36507",Pancreatic,Pancreas,Human,Immune system,cytoplasm,GO:0005737,,,MEK1pf_cytoPCC,,,RAFpf_cytoPCC,D,"MEKINH901ext_cytoPCC,MEKINH901ext_cytoPCC","N/A, N/A"
126,MEK1,Protein family,,"Q02750,P36507",,Macrophage,Human,Pancreas,cytoplasm,GO:0005737,,,MEK1pf_cytoMAC,,,,,,
127,MRN,Protein complex,,"P49959,Q92878,O60934",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,MRNpf_nucPCC,,,ROScf_nucPCC,D,P53pn_nucPCC,D
128,MTORC1,Protein complex,,"P42345,Q8N122,Q9BVC4,Q96B36",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,MTORC1pf_cytoPCC,,,AKTpf_cytoPCC,I,"TSC2pf_cytoPCC,MTORINHTMext_cytoPCC,MTORINHTMext_cytoPCC","I,N/A,N/A"
