Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location,Negative Reg Location ID,Mechanism,Connection Type,Paper ID,Evidence
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,SHIP1,uniprot_Q92835,uniprot,Q92835,protein,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,SHIP1,uniprot_Q92835,uniprot,Q92835,protein,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,,,,,,,,siPAK1,uaz_UAZ03324,uaz,UAZ03324,protein,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,SHIP1,uniprot_Q92835,uniprot,Q92835,protein,,,,,I,PMC4487994,
Pak1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,,,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,I,PMC4487994,
Akt,be_AKT,be,P31749,family,,,,,,,,,,,,,CTLA4,uniprot_P16410,uniprot,P16410,protein,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,,,,,,,,PD1,uniprot_P18621,uniprot,P18621,protein,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,,,,,,,,TIL,uniprot_Q15399,uniprot,Q15399,protein,,,,,I,PMC4550078,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,I,PMC4496363,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,CK2,be_CK2,be,CK2,protein,,,,,I,PMC4496363,
FoxO3,uniprot_O43524,uniprot,O43524,protein,,,,,,,,,,,,,Akt,be_AKT,be,P31749,family,,,,,I,PMC4496363,
PTEN,,,P60486,protein,,,,,,,,,,,,,CK2,,,Q53GL0,protein,,,,,I,PMC4418530,
PTEN,,,P60487,protein,,,,,,,,,,,,,NEDD4,,,P46934,protein,,,,,I,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,,,,,,,,AKT,,,P31749,protein,,,,,I,PMC4418530,
PIP3,,,HMDB10148,protein,,,,,,,,,,,,,PTEN,,,P60484,protein,,,,,I,PMC4418530,
