Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence
mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC3949578,
transcription,go_GO:0006351,go,GO:0006351,bioprocess,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,I,,PMCPMC3949578,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,cell_differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,,,,,,,,I,,PMCPMC3949578,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC3949578,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,metabolism,go_GO:0008152,go,GO:0008152,bioprocess,,,,,,,,,,I,,PMCPMC3949578,
FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,I,,PMCPMC3949578,
FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,I,,PMCPMC3949578,
mitogen_activated_protein_kinase,be_MAPK,be,MAPK,family,,,,,,STAT5,be_STAT5,be,STAT5,family,,,,,,,,,,I,,PMCPMC3949578,
PI3K,be_PI3K,be,PI3K,protein,,,,,,STAT5,be_STAT5,be,STAT5,family,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,Th17,uaz_UAZ06587,uaz,UAZ06587,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,,,,,,,,I,,PMCPMC3949578,
PLC__,uaz_UAZ11129,uaz,UAZ11129,family,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC3949578,
CD28,uniprot_P10747,uniprot,P10747,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,CD25,uniprot_P01589,uniprot,P01589,protein,,,,,,,,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC3949578,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,I,,PMCPMC3949578,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,PI3K_,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC3949578,
ERK,be_ERK,be,ERK,family,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC3949578,
inflammation,go_GO:0006954,go,GO:0006954,bioprocess,,,,,,Th17,uaz_UAZ06587,uaz,UAZ06587,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC3949578,
NEDD4,,,P46934,protein,,,,,,TCR,,,P04235,protein,,,,,,,,,,I,,PMC4418530,
PTEN,,,P60484,protein,,,,,,Foxo1,,,Q12778,protein,,,,,,,,,,I,,PMC4418530,
PTEN,,,P60485,protein,,,,,,MEK1,,,Q02750,protein,,,,,,,,,,I,,PMC4418530,
AKT,,,P31749,protein,,,,,,PIP3,,,HMDB10147,protein,,,,,,,,,,I,,PMC4418530,
AKT,,,P31750,protein,,,,,,MTORC2,,,Q6R327,Complex,,,,,,,,,,I,,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,TCR,,,P01850,protein,,,,,,,,,,I,,PMC4418530,
PIP3,,,HMDB10147,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,I,,PMC4418530,
MEK1,,,Q02750,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,I,,PMC4418530,
CK2,,,Q53GL0,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,I,,PMC4418530,
