,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
100,th17,protein,uaz02468,nan,nan,nan,nan,nan,itk,protein,q08881,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,0.1,40,1,40.1
97,s5b,protein,uaz02655,nan,nan,nan,nan,nan,erk,family,p29323,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3625979'],['nan'],1,0.1,40,1,40.1
73,pak1,protein,q13153,nan,nan,nan,nan,nan,erk,family,p29323,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
48,gp120,protein,q14624,nan,nan,nan,nan,nan,pdl1,protein,q9nzq7,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4669187'],['nan'],1,0.1,40,1,40.1
71,pak1,protein,q13153,nan,nan,nan,nan,nan,bam32,protein,q9un19,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
70,p38,family,p38,nan,nan,nan,nan,nan,cd5,protein,p06127,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
22,cd4,protein,p01730,nan,nan,nan,nan,nan,bcl2l11,gene,o43521,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
23,cd4,protein,p01730,nan,nan,nan,nan,nan,itk,protein,q08881,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,0.1,40,1,40.1
26,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,itk,protein,q08881,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,0.1,40,1,40.1
27,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tbk1,protein,q9uhd2,nan,nan,i,['nan'],['nan'],['pmc4302769'],['nan'],1,0.1,40,1,40.1
29,cd4,protein,p01730,nan,nan,nan,nan,nan,tbk1,protein,q9uhd2,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4302769'],['nan'],1,0.1,40,1,40.1
30,cd4,protein,uaz00341,nan,nan,nan,nan,nan,ck2,protein,q53gl0,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
31,cd5,protein,p06127,nan,nan,nan,nan,nan,p38,family,p38,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
32,cd69,protein,q07108,nan,nan,nan,nan,nan,sp,protein,q03403,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
33,cd8,family,cd8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pdl1,protein,q9nzq7,nan,nan,i,['nan'],['nan'],['pmc4669187'],['nan'],1,0.1,40,1,40.1
35,cdc37,protein,q16543,nan,nan,nan,nan,nan,ck2,protein,q53gl0,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
36,cdc37,protein,q16543,nan,nan,nan,nan,nan,ck2,protein,uaz00325,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
37,ck2,protein,q53gl0,nan,nan,nan,nan,nan,cd5,protein,p06127,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
38,ck2,protein,q53gl0,nan,nan,nan,nan,nan,erk,family,p29323,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5193405'],['nan'],1,0.1,40,1,40.1
42,fas,protein,p25445,nan,nan,nan,nan,nan,fasl,protein,p48023,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
46,foxo3,protein,uaz03334,nan,nan,nan,nan,nan,foxo3,protein,o43524,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
47,foxo3a,protein,o43524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,foxo,family,foxo,nan,nan,i,['nan'],['nan'],['pmc3375464'],['nan'],1,0.1,40,1,40.1
51,il17a,protein,q16552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cd4,protein,p01730,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,0.1,40,1,40.1
52,il17a,protein,q16552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hif1alpha,protein,q16665,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,0.1,40,1,40.1
68,myc,protein,p01106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,itk,protein,q08881,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,0.1,40,1,40.1
101,treg,protein,uaz02439,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pdl1,protein,q9nzq7,nan,nan,i,['nan'],['nan'],['pmc4669187'],['nan'],1,0.1,40,1,40.1
